trip_id,route_id,service_id
496_6,496,FLXP
496_7,496,FLXP
496_8,496,FLXP
496_9,496,FLXP
496_10,496,FLXP
496_11,496,FLXP
496_12,496,FLXP
496_13,496,FLXP
496_14,496,FLXP
496_15,496,FLXP
496_16,496,FLXP
496_17,496,FLXP
496_18,496,FLXP
496_19,496,FLXP
496_20,496,FLXP
496_21,496,FLXP
496_22,496,FLXP
496_23,496,FLXP
496_24,496,FLXP
504_1,504,FLXP
504_2,504,FLXP
504_3,504,FLXP
504_4,504,FLXP
504_5,504,FLXP
504_6,504,FLXP
504_7,504,FLXP
504_8,504,FLXP
504_9,504,FLXP
504_10,504,FLXP
504_11,504,FLXP
504_12,504,FLXP
504_13,504,FLXP
504_14,504,FLXP
504_15,504,FLXP
504_16,504,FLXP
504_17,504,FLXP
504_18,504,FLXP
504_19,504,FLXP
504_20,504,FLXP
504_21,504,FLXP
504_22,504,FLXP
504_23,504,FLXP
504_24,504,FLXP
504_25,504,FLXP
504_26,504,FLXP
504_27,504,FLXP
504_28,504,FLXP
504_29,504,FLXP
504_30,504,FLXP
504_31,504,FLXP
540_1,540,FLXP
540_2,540,FLXP
540_3,540,FLXP
540_4,540,FLXP
540_5,540,FLXP
540_6,540,FLXP
540_7,540,FLXP
540_8,540,FLXP
540_9,540,FLXP
540_10,540,FLXP
540_11,540,FLXP
540_12,540,FLXP
540_13,540,FLXP
559_1,559,FLXP
559_2,559,FLXP
559_3,559,FLXP
559_4,559,FLXP
559_5,559,FLXP
559_6,559,FLXP
559_7,559,FLXP
559_8,559,FLXP
559_9,559,FLXP
559_10,559,FLXP
559_11,559,FLXP
559_12,559,FLXP
559_13,559,FLXP
562_1,562,FLXP
562_2,562,FLXP
562_3,562,FLXP
562_4,562,FLXP
562_5,562,FLXP
562_6,562,FLXP
562_7,562,FLXP
562_8,562,FLXP
562_9,562,FLXP
562_10,562,FLXP
562_11,562,FLXP
562_12,562,FLXP
562_13,562,FLXP
563_1,563,FLXP
563_2,563,FLXP
563_3,563,FLXP
563_4,563,FLXP
563_5,563,FLXP
563_6,563,FLXP
563_7,563,FLXP
563_8,563,FLXP
563_9,563,FLXP
563_10,563,FLXP
563_11,563,FLXP
563_12,563,FLXP
563_13,563,FLXP
570_1,570,FLXP
570_2,570,FLXP
570_3,570,FLXP
570_4,570,FLXP
570_5,570,FLXP
570_6,570,FLXP
570_7,570,FLXP
570_8,570,FLXP
570_9,570,FLXP
570_10,570,FLXP
570_11,570,FLXP
570_12,570,FLXP
570_13,570,FLXP
581_1,581,FLXP
581_2,581,FLXP
581_3,581,FLXP
581_4,581,FLXP
581_5,581,FLXP
581_6,581,FLXP
581_7,581,FLXP
581_8,581,FLXP
581_9,581,FLXP
581_10,581,FLXP
581_11,581,FLXP
581_12,581,FLXP
581_13,581,FLXP
584_1,584,FLXP
584_2,584,FLXP
584_3,584,FLXP
584_4,584,FLXP
584_5,584,FLXP
584_6,584,FLXP
584_7,584,FLXP
584_8,584,FLXP
584_9,584,FLXP
584_10,584,FLXP
584_11,584,FLXP
584_12,584,FLXP
584_13,584,FLXP
