trip_id,vehicle_name
430_13,FLXPbus
471_1,FLXPbus
471_2,FLXPbus
471_3,FLXPbus
471_4,FLXPbus
471_5,FLXPbus
471_6,FLXPbus
471_7,FLXPbus
471_8,FLXPbus
471_9,FLXPbus
471_10,FLXPbus
471_11,FLXPbus
471_12,FLXPbus
471_13,FLXPbus
496_1,FLXPbus
496_2,FLXPbus
496_3,FLXPbus
496_4,FLXPbus
496_5,FLXPbus
496_6,FLXPbus
496_7,FLXPbus
496_8,FLXPbus
496_9,FLXPbus
496_10,FLXPbus
496_11,FLXPbus
496_12,FLXPbus
496_13,FLXPbus
496_14,FLXPbus
496_15,FLXPbus
496_16,FLXPbus
496_17,FLXPbus
496_18,FLXPbus
496_19,FLXPbus
496_20,FLXPbus
496_21,FLXPbus
496_22,FLXPbus
496_23,FLXPbus
496_24,FLXPbus
504_1,FLXPbus
504_2,FLXPbus
504_3,FLXPbus
504_4,FLXPbus
504_5,FLXPbus
504_6,FLXPbus
504_7,FLXPbus
504_8,FLXPbus
504_9,FLXPbus
504_10,FLXPbus
504_11,FLXPbus
504_12,FLXPbus
504_13,FLXPbus
504_14,FLXPbus
504_15,FLXPbus
504_16,FLXPbus
504_17,FLXPbus
504_18,FLXPbus
504_19,FLXPbus
504_20,FLXPbus
504_21,FLXPbus
504_22,FLXPbus
504_23,FLXPbus
504_24,FLXPbus
504_25,FLXPbus
504_26,FLXPbus
504_27,FLXPbus
504_28,FLXPbus
504_29,FLXPbus
504_30,FLXPbus
504_31,FLXPbus
540_1,FLXPbus
540_2,FLXPbus
540_3,FLXPbus
540_4,FLXPbus
540_5,FLXPbus
540_6,FLXPbus
540_7,FLXPbus
540_8,FLXPbus
540_9,FLXPbus
540_10,FLXPbus
540_11,FLXPbus
540_12,FLXPbus
540_13,FLXPbus
559_1,FLXPbus
559_2,FLXPbus
559_3,FLXPbus
559_4,FLXPbus
559_5,FLXPbus
559_6,FLXPbus
559_7,FLXPbus
559_8,FLXPbus
559_9,FLXPbus
559_10,FLXPbus
559_11,FLXPbus
559_12,FLXPbus
559_13,FLXPbus
562_1,FLXPbus
562_2,FLXPbus
562_3,FLXPbus
562_4,FLXPbus
562_5,FLXPbus
562_6,FLXPbus
562_7,FLXPbus
562_8,FLXPbus
562_9,FLXPbus
562_10,FLXPbus
562_11,FLXPbus
562_12,FLXPbus
562_13,FLXPbus
563_1,FLXPbus
563_2,FLXPbus
563_3,FLXPbus
563_4,FLXPbus
563_5,FLXPbus
563_6,FLXPbus
563_7,FLXPbus
563_8,FLXPbus
563_9,FLXPbus
563_10,FLXPbus
563_11,FLXPbus
563_12,FLXPbus
563_13,FLXPbus
570_1,FLXPbus
570_2,FLXPbus
570_3,FLXPbus
570_4,FLXPbus
570_5,FLXPbus
570_6,FLXPbus
570_7,FLXPbus
570_8,FLXPbus
570_9,FLXPbus
570_10,FLXPbus
570_11,FLXPbus
570_12,FLXPbus
570_13,FLXPbus
581_1,FLXPbus
581_2,FLXPbus
581_3,FLXPbus
581_4,FLXPbus
581_5,FLXPbus
581_6,FLXPbus
581_7,FLXPbus
581_8,FLXPbus
581_9,FLXPbus
581_10,FLXPbus
581_11,FLXPbus
581_12,FLXPbus
581_13,FLXPbus
584_1,FLXPbus
584_2,FLXPbus
584_3,FLXPbus
584_4,FLXPbus
584_5,FLXPbus
584_6,FLXPbus
584_7,FLXPbus
584_8,FLXPbus
584_9,FLXPbus
584_10,FLXPbus
584_11,FLXPbus
584_12,FLXPbus
584_13,FLXPbus
